Funds,Factsheet / Offering Material (via Fundinfo),Fund Specific Materials (via Intranet),Fund Watch List,Base Ccy,Last Bloomberg Update,Latest NAV,1 Mth Return (%),3 Mths Return (%),YTD Return (%),1 Yr Return (%),3 Yr Ann Return (%),5 Yr Ann Return (%),3 Yr Ann Std Dev (%),Inception Date,ISIN (base ccy),BB Ticker (base ccy),Other share classes available,Use of Derivatives (as a principal driver),Is this a High Yield Bond Fund (Yes/No),Risk Rating ,AR*,SG MAS Registered,SG Restricted,HK SFC Authorization,UK Registered,Offering In DIFC Allowed?*,UCITS,Fund House Max Sales ChargeBOS Fee Schedule applies - Min USD375 Max up to 2% upfront fee,Investment Objective,Investment Tenor,Investment Time Horizon,Dealing Frequency (Subscription)Refer to Funds Identifier tab for Notice Period,Dealing Frequency (Redemption)Refer to Funds Identifier tab for Notice Period,Loss Absorption Product,Complex Product,Remarks,Extra Remarks,,,,
Fixed Income - Global Investment Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
JPM Managed Reserves Fund USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0513027705,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/JP%20Morgan/JPM%20Managed%20Reserves%20Fund,No,USD,06-Nov-2019,10799.35 ,0.11 ,0.48 ,2.40 ,2.69 ,1.73 ,1.23 ,0.28 ,6/10/2010,LU0513027705,JPMRAAU LX EQUITY,USD Acc  ,No,No,2,75%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,No charge,Income Generation,N/A,> 5 years,Daily,Daily,No,No,"BOS Fee Schedule applies - Min USD375, Max up to 2% upfront fee", ,,,,
PIMCO GIS Global Invt Grade Credit E USD Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B3K7XK29,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/PIMCO/Global%20Investment%20Grade%20Credit,No,USD,06-Nov-2019,18.96 ,(0.37),0.74 ,10.68 ,11.27 ,4.32 ,4.04 ,3.03 ,12/10/2008,IE00B3K7XK29,PGIGCEA ID EQUITY,"USD Acc , USD Dis  (Qter) , USD Dis  (Mth) , EUR Dis  (Qter) (H) , EUR Acc  (H) , GBP Dis  (Qter) (H) , SGD Dis  (Qter) (H) , CHF Acc  (H)",No,No,2,80%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, ,,,,
Wellington Global Bond D Hedged USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B6WXRZ21,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Wellington/Global%20Bond%20Portfolio,No,USD,06-Nov-2019,12.68 ,(1.40),(0.64),7.07 ,9.92 ,3.31 ,3.22 ,2.74 ,1/27/2012,IE00B6WXRZ21,WELBHUA ID EQUITY,"USD Acc  (H) , USD Acc , USD Dis  (Qter) (H)",No,No,2,65%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,No max,Income Generation,N/A,> 5 years,Daily,Daily,No,No,"BOS Fee Schedule applies - Min USD375, Max up to 2% upfront fee", ,,,,
Fixed Income - Global Blend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
Fullerton USD Income B USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=SG9999015176,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Fullerton/Fullerton%20USD%20Income,No,USD,06-Nov-2019,1.03 ,0.27 ,1.59 ,10.07 ,11.11 ,4.12 ,N/A,2.65 ,4/15/2016,SG9999015176,FULUSIB SP EQUITY,"USD Dis  (Qter) , USD Dis  (Qter) , SGD Dis  (Qter) (H) , SGD Dis  (Qter) (H) , AUD Dis  (Qter) (H) , AUD Dis  (Qter) (H) , EUR Dis  (Qter) (H) , EUR Dis  (Qter) (H) , GBP Dis  (Qter) (H) , GBP Dis  (Qter) (H)",No,No,2,75%,Yes,"Retail
(Authorized)",SFC Unauthorized,No,Yes,No,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,, ,,,,
H2O Adagio Fund,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=FR0013393188,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/H2O/H2O%20Adagio%20Fund,Yes,EUR,05-Nov-2019,106.57 ,2.14 ,5.31 ,N/A,N/A,N/A,N/A,N/A,1/14/2019,FR0013393188,H2ADESR FP Equity,"EUR Acc , USD Acc  (H) , CHF Acc  (H) , SGD Acc  (H) , GBP Acc  (H)",Yes,No,5,70%,Yes,Restricted,SFC Unauthorized,TBC,Yes,Yes,2.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,,(Super retail share class),,,,
Jupiter Dynamic Bond EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0853555380,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Jupiter/Jupiter%20Dynamic%20Bond,No,EUR,06-Nov-2019,12.06 ,(1.47),(0.90),6.73 ,7.68 ,1.36 ,2.17 ,2.72 ,5/10/2013,LU0853555380,JUPLEUR LX Equity,"EUR Acc , EUR Dis  (Qter) , USD Acc  (H) , USD Dis  (Qter) (H) , USD Dis  (Mth) (H) , GBP Acc  (H) , GBP Dis  (Qter) (H) , SGD Acc  (H) , SGD Dis  (Mth) (H) , AUD Acc  (H) , AUD Dis  (Mth) (H) , SEK Acc  (H) , CNH Dis  (Mth) (H) , CNH Acc  (H) , CHF Acc  (H) , CHF Dis  (Qter) (H)",No,No,3,65%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,3.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, ,,,,
Legg Mason WA Macro Opportunities Bd A Acc USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00BC9S3Z47,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Legg%20Mason/Legg%20Mason%20Western%20Asset%20Macro%20Opportunities%20Bond%20Fund,No,USD,06-Nov-2019,140.73 ,1.73 ,4.88 ,13.34 ,17.18 ,6.08 ,5.32 ,6.96 ,11/29/2013,IE00BC9S3Z47,WAMOAAU ID EQUITY,"USD Acc , USD Dis  (Mth) , USD Dis (Semi-Ann) , EUR Acc  (H) , EUR Dis (Semi-Ann)(H) , EUR Dis (Ann) , GBP Acc , GBP Acc  (H) , GBP Dis  (Mth) (H) , AUD Dis  (Mth) (H) , CHF Acc  (H) , CNH Acc  (H) , CNH Dis  (Mth) (H) , SGD Acc  (H) , SGD Dis  (Mth) (H)",Yes,No,5,70%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,, ,,,,
M&G Optimal Income GBP Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=GB00B1H05155,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/M%20and%20G/Optimal%20Income,No,GBp,06-Nov-2019,217.62 ,1.55 ,1.52 ,7.01 ,4.81 ,3.53 ,2.95 ,3.30 ,12/8/2006,GB00B1H05155,MGOIANA LN EQUITY,"GBP Acc , GBP Dis (Semi-Ann) , USD Acc  (H) , USD Dis (Semi-Ann)(H) , USD Dis  (Mth) (H) , EUR Acc  (H) , EUR Dis (Semi-Ann)(H) , CHF Acc  (H) , CHF Dis (Semi-Ann)(H) , SGD Acc  (H) , SGD Dis  (Mth) (H)",No,No,3,80%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,3.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, ,,,,
